userid,totalEvents,totalTime,totalTimeBetweenClicks,meanTimeBetweenClicks,stdTimeBetweenClicks,meanClicksPerSecond,stdClicksPerSecond,meanClicksPerMinute,stdClicksPerMinute,totalTimeMin
109,79,257396,257396,3258.1772151898713,28521.065587566045,1.0,0.0,2.548387096774193,2.4198995802501027,4289.56
407,3,36336,36336,12112.0,20922.332972209384,1.0,0.0,1.0,0.0,605.36
205,64,2819,2819,44.046875,94.74852759881209,1.1428571428571428,0.4834937784152283,2.9090909090909087,2.8100006932568355,46.59
121,64,2592,2592,40.5,124.16348669625636,1.0847457627118644,0.3845344517644744,3.3684210526315788,3.8327612082586313,43.12
112,83,3722,3722,44.843373493975896,93.58151291367572,1.0,0.0,3.0740740740740735,2.7585660422920117,62.2
220,176,2005,2005,11.392045454545455,56.01489336971714,1.2137931034482758,0.6990688936061046,8.8,7.8041824144425735,33.25
217,74,2207,2207,29.824324324324326,54.856065237791384,1.1384615384615384,0.4285485341870231,3.083333333333333,3.386888615345008,36.47
113,41,1167,1167,28.463414634146343,67.72521596900802,1.025,0.15811388300841894,4.1,3.871548642195896,19.27
