id,participant_id,timestamp,pagetime,item,action,message,combined,combined_num
2251,109,2017-08-20 19:21:27,0,play_pause_button,play,,play_pause_button play,9
2258,109,2017-08-20 19:26:34,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
3218,407,2017-08-22 22:00:41,0,play_pause_button,play,,play_pause_button play,9
3219,407,2017-08-22 22:01:46,0,play_pause_button,play,,play_pause_button play,9
3220,407,2017-08-23 08:06:17,0,play_pause_button,play,,play_pause_button play,9
3290,109,2017-08-23 17:52:23,0,play_pause_button,play,,play_pause_button play,9
3292,109,2017-08-23 17:56:00,0,play_pause_button,play,,play_pause_button play,9
3305,109,2017-08-23 18:00:09,0,play_pause_button,pause,,play_pause_button pause,16
3306,109,2017-08-23 18:00:36,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
3307,109,2017-08-23 18:00:38,0,full_screen_button,collapsed,,full_screen_button collapsed,19
3311,109,2017-08-23 18:02:14,0,play_pause_button,play,,play_pause_button play,9
3312,109,2017-08-23 18:02:31,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
3313,109,2017-08-23 18:03:04,0,full_screen_button,collapsed,,full_screen_button collapsed,19
3317,109,2017-08-23 18:04:57,0,select_recipe,choc_pots,,select_recipe choc_pots,4
3318,109,2017-08-23 18:05:12,0,experience_level,not_really,,experience_level not_really,25
3319,109,2017-08-23 18:05:17,0,cook_reason,learn,,cook_reason learn,24
3320,109,2017-08-23 18:05:22,0,cooking_for,2,,cooking_for 2,21
3322,109,2017-08-23 18:05:45,0,not_quite_button,click,,not_quite_button click,10
3324,109,2017-08-23 18:05:59,0,experience_level,not_really,,experience_level not_really,25
3325,109,2017-08-23 18:06:01,0,cook_reason,learn,,cook_reason learn,24
3326,109,2017-08-23 18:06:04,0,cooking_for,2,,cooking_for 2,21
3327,109,2017-08-23 18:06:08,0,confirm_cook,click,,confirm_cook click,26
3330,109,2017-08-23 18:06:43,0,next_button,click,,next_button click,14
3332,109,2017-08-23 18:06:46,0,back_button,rewind,,back_button rewind,15
3334,109,2017-08-23 18:06:47,0,back_button,rewind,,back_button rewind,15
3335,109,2017-08-23 18:06:56,0,back_button,rewind,,back_button rewind,15
3336,109,2017-08-23 18:06:57,0,back_button,rewind,,back_button rewind,15
3337,109,2017-08-23 18:07:05,0,back_button,rewind,,back_button rewind,15
3338,109,2017-08-23 18:07:13,0,play_pause_button,pause,,play_pause_button pause,16
3339,109,2017-08-23 18:07:18,0,cardView,toggle,,cardView toggle,11
3340,109,2017-08-23 18:07:25,0,cardView,toggle,,cardView toggle,11
3341,109,2017-08-23 18:07:27,0,cardView,toggle,,cardView toggle,11
3342,109,2017-08-23 18:07:28,0,cardView,toggle,,cardView toggle,11
3343,109,2017-08-23 18:07:32,0,back_button,rewind,,back_button rewind,15
3345,109,2017-08-23 18:07:33,0,back_button,rewind,,back_button rewind,15
3347,109,2017-08-23 18:07:42,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
3348,109,2017-08-23 18:07:47,0,back_button,rewind,,back_button rewind,15
3350,109,2017-08-23 18:07:55,0,back_button,rewind,,back_button rewind,15
3351,109,2017-08-23 18:08:37,0,play_pause_button,play,,play_pause_button play,9
3352,109,2017-08-23 18:08:41,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
3353,109,2017-08-23 18:08:56,0,select_recipe,choc_pots,,select_recipe choc_pots,4
3356,109,2017-08-23 18:09:00,0,experience_level,not_really,,experience_level not_really,25
3358,109,2017-08-23 18:09:04,0,cook_reason,learn,,cook_reason learn,24
3359,109,2017-08-23 18:09:09,0,cooking_for,2,,cooking_for 2,21
3360,109,2017-08-23 18:09:11,0,confirm_cook,click,,confirm_cook click,26
3364,109,2017-08-23 18:10:04,0,play_pause_button,play,,play_pause_button play,9
3365,109,2017-08-23 18:10:10,0,play_pause_button,pause,,play_pause_button pause,16
3367,205,2017-08-23 18:10:20,0,play_pause_button,play,,play_pause_button play,9
3368,109,2017-08-23 18:10:20,0,play_pause_button,pause,,play_pause_button pause,16
3369,109,2017-08-23 18:10:37,0,cardView,toggle,,cardView toggle,11
3370,109,2017-08-23 18:10:47,0,cardView,toggle,,cardView toggle,11
3371,109,2017-08-23 18:10:52,0,play_pause_button,play,,play_pause_button play,9
3380,109,2017-08-23 18:12:45,0,play_pause_button,pause,,play_pause_button pause,16
3381,205,2017-08-23 18:12:50,0,play_pause_button,play,,play_pause_button play,9
3382,109,2017-08-23 18:12:52,0,cardView,toggle,,cardView toggle,11
3383,109,2017-08-23 18:12:57,0,next_button,click,,next_button click,14
3384,205,2017-08-23 18:13:08,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
3385,205,2017-08-23 18:13:11,0,play_pause_button,pause,,play_pause_button pause,16
3386,205,2017-08-23 18:13:11,0,play_pause_button,play,,play_pause_button play,9
3387,205,2017-08-23 18:13:18,0,select_recipe,mullet,,select_recipe mullet,13
3388,205,2017-08-23 18:13:29,0,experience_level,lots,,experience_level lots,20
3389,205,2017-08-23 18:13:32,0,cook_reason,dinner,,cook_reason dinner,28
3390,205,2017-08-23 18:13:34,0,cooking_for,2,,cooking_for 2,21
3394,109,2017-08-23 18:14:58,0,cardView,toggle,,cardView toggle,11
3396,109,2017-08-23 18:15:03,0,cardView,toggle,,cardView toggle,11
3397,205,2017-08-23 18:15:35,0,confirm_cook,click,,confirm_cook click,26
3398,205,2017-08-23 18:16:09,0,next_button,click,,next_button click,14
3399,205,2017-08-23 18:16:11,0,back_button,rewind,,back_button rewind,15
3400,205,2017-08-23 18:16:15,0,cardView,toggle,,cardView toggle,11
3402,205,2017-08-23 18:16:24,0,cardView,toggle,,cardView toggle,11
3403,205,2017-08-23 18:16:25,0,next_button,click,,next_button click,14
3404,205,2017-08-23 18:16:29,0,cardView,toggle,,cardView toggle,11
3405,205,2017-08-23 18:16:32,0,next_button,click,,next_button click,14
3406,205,2017-08-23 18:16:55,0,back_button,rewind,,back_button rewind,15
3407,205,2017-08-23 18:16:56,0,back_button,rewind,,back_button rewind,15
3408,205,2017-08-23 18:16:57,0,next_button,click,,next_button click,14
3409,205,2017-08-23 18:16:57,0,next_button,click,,next_button click,14
3410,109,2017-08-23 18:17:01,0,next_button,click,,next_button click,14
3411,109,2017-08-23 18:17:18,0,cardView,toggle,,cardView toggle,11
3412,109,2017-08-23 18:17:19,0,cardView,toggle,,cardView toggle,11
3413,109,2017-08-23 18:17:23,0,cardView,toggle,,cardView toggle,11
3414,109,2017-08-23 18:17:25,0,cardView,toggle,,cardView toggle,11
3417,205,2017-08-23 18:17:50,0,next_button,click,,next_button click,14
3418,205,2017-08-23 18:17:57,0,next_button,click,,next_button click,14
3419,205,2017-08-23 18:17:59,0,next_button,click,,next_button click,14
3425,109,2017-08-23 18:18:27,0,back_button,rewind,,back_button rewind,15
3426,109,2017-08-23 18:18:29,0,next_button,click,,next_button click,14
3429,109,2017-08-23 18:18:32,0,full_screen_button,collapsed,,full_screen_button collapsed,19
3431,205,2017-08-23 18:18:38,0,back_button,rewind,,back_button rewind,15
3432,205,2017-08-23 18:18:39,0,back_button,rewind,,back_button rewind,15
3433,109,2017-08-23 18:19:02,0,back_button,rewind,,back_button rewind,15
3434,109,2017-08-23 18:19:06,0,next_button,click,,next_button click,14
3439,109,2017-08-23 18:21:10,0,next_button,click,,next_button click,14
3450,109,2017-08-23 18:25:49,0,next_button,click,,next_button click,14
3451,109,2017-08-23 18:27:05,0,next_button,click,,next_button click,14
3452,205,2017-08-23 18:28:23,0,cardView,toggle,,cardView toggle,11
