id,participant_id,timestamp,pagetime,item,action,message,condition
1167,225,"2017-08-19 08:59:07",0,next_button,click,NULL,1
1168,225,"2017-08-19 08:59:44",0,video_end,ended,NULL,1
1169,225,"2017-08-19 08:59:48",0,next_button,click,NULL,1
1170,225,"2017-08-19 09:00:26",0,video_end,ended,NULL,1
1171,225,"2017-08-19 09:00:28",0,next_button,click,NULL,1
1172,225,"2017-08-19 09:01:01",0,video_end,ended,NULL,1
1173,225,"2017-08-19 09:01:05",0,next_button,click,NULL,1
1174,225,"2017-08-19 09:01:18",0,cardView,toggle,NULL,1
1175,225,"2017-08-19 09:01:23",0,next_button,click,NULL,1
1176,225,"2017-08-19 09:01:25",0,next_button,click,NULL,1
1177,225,"2017-08-19 09:01:29",0,next_button,click,NULL,1
1178,225,"2017-08-19 09:01:32",0,back_button,rewind,NULL,1
1179,225,"2017-08-19 09:01:32",0,back_button,rewind,NULL,1
1180,225,"2017-08-19 09:01:33",0,back_button,rewind,NULL,1
1181,225,"2017-08-19 09:01:34",0,back_button,rewind,NULL,1
1182,225,"2017-08-19 09:01:34",0,back_button,rewind,NULL,1
1183,225,"2017-08-19 09:01:35",0,back_button,rewind,NULL,1
1184,225,"2017-08-19 09:01:35",0,back_button,rewind,NULL,1
1185,225,"2017-08-19 09:01:38",0,cardView,toggle,NULL,1
1186,225,"2017-08-19 09:01:40",0,next_button,click,NULL,1
1187,225,"2017-08-19 09:01:48",0,play_pause_button,pause,NULL,1
1212,211,"2017-08-19 10:15:07",0,play_pause_button,play,NULL,1
1213,211,"2017-08-19 10:15:48",0,select_recipe,mullet,NULL,1
1214,211,"2017-08-19 10:15:58",0,experience_level,not_really,NULL,1
1215,211,"2017-08-19 10:16:02",0,cook_reason,dinner,NULL,1
1216,211,"2017-08-19 10:16:05",0,cooking_for,1,NULL,1
1217,211,"2017-08-19 10:16:25",0,not_quite_button,click,NULL,1
1218,221,"2017-08-19 15:48:43",0,play_pause_button,play,NULL,1
1219,221,"2017-08-19 15:49:30",0,select_recipe,mullet,NULL,1
1220,221,"2017-08-19 15:49:31",0,select_recipe,deselect,NULL,1
1221,221,"2017-08-19 15:49:35",0,select_recipe,mullet,NULL,1
1222,221,"2017-08-19 15:49:47",0,experience_level,not_really,NULL,1
1223,221,"2017-08-19 15:49:51",0,cook_reason,dinner,NULL,1
