userid,sessionNo,totalEvents,totalTime,totalTimeBetweenClicks,meanTimeBetweenClicks,stdTimeBetweenClicks,meanClicksPerSecond,stdClicksPerSecond,meanClicksPerMinute,stdClicksPerMinute,mostFrequentItemAction
105,1,60,4118,4118,68.63333333333334,187.5766028077701,1.0169491525423728,0.13018891098082386,2.2222222222222223,1.8045526471705544,0 video_end
315,1,5,1227,1227,245.4,328.3090007904139,1.0,0.0,1.6666666666666667,0.5773502691896257,2147483647 window
315,2,3,4,4,1.3333333333333333,1.1547005383792517,1.0,0.0,3.0,0.0,2147483647 tab-finish
127,1,24,237,237,9.875,18.817920459890956,1.0,0.0,4.8,3.5637059362410923,0 next_button
127,2,76,2564,2564,33.73684210526317,51.513459321114034,1.0555555555555556,0.2852668080932076,2.533333333333333,3.148435115761625,0 video_end
302,1,35,3462,3462,98.91428571428571,139.12951465716935,1.0294117647058822,0.17149858514250882,1.5909090909090908,0.7341396590302414,3277577 v4
425,1,43,2001,2001,46.53488372093024,79.39363919501999,1.0238095238095237,0.15430334996209188,2.5294117647058822,1.940285000290664,1593921 window
425,2,4,168,168,42.0,80.68457101577724,1.0,0.0,2.0,0.0,4653998 tab-finish
413,1,36,3795,3795,105.41666666666664,212.51707494424335,1.1612903225806452,0.5226071943342271,1.8947368421052633,1.2864566686188532,523499 v1
407,1,2,65,65,32.5,45.96194077712559,1.0,0.0,1.0,0.0,0 play_pause_button
407,2,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0 play_pause_button
117,1,3,1256,1256,418.66666666666663,724.2860852821441,1.0,0.0,1.5,0.7071067811865476,0 play_pause_button
117,2,42,2552,2552,60.76190476190476,66.70459432153429,1.0,0.0,1.5555555555555556,0.7510676161988109,0 video_end
404,1,78,3485,3485,44.67948717948716,115.05611206888977,1.0,0.0,2.6896551724137927,2.019608312022444,1222115 v1
205,1,64,2819,2819,44.046875,94.74852759881209,1.1428571428571428,0.48349377841522834,2.909090909090909,2.8100006932568355,0 next_button
222,1,56,3307,3307,59.053571428571416,77.4003569742431,1.0,0.0,1.6000000000000003,1.31059034744787,0 video_end
320,1,91,5370,5370,59.01098901098901,158.97340759493179,1.4918032786885245,1.026692924226001,3.5,3.7336309405188937,3069659 v4
203,1,45,1564,1564,34.75555555555556,150.21577746022484,1.0975609756097562,0.3744915251898559,5.625,4.955156044825574,0 select_recipe
104,1,64,2756,2756,43.0625,63.06632311393388,1.0,0.0,2.56,2.1617893822787946,0 next_button
122,1,70,4211,4211,60.15714285714287,223.36975491773345,1.0,0.0,2.333333333333333,3.506971709996052,0 next_button
421,1,14,2051,2051,146.5,211.53750349433403,1.1666666666666667,0.5773502691896257,1.75,1.0350983390135313,2147483647 window
126,1,60,2350,2350,39.16666666666668,53.01556108836464,1.0,0.0,2.307692307692308,3.0168756125399767,0 video_end
121,1,64,2592,2592,40.5,124.16348669625636,1.0847457627118644,0.38453445176447437,3.3684210526315788,3.8327612082586313,0 next_button
414,1,4,29,29,7.25,7.274384280931732,1.0,0.0,2.0,1.4142135623730951,0 play_pause_button
422,1,246,2913,2913,11.84146341463415,28.124854072958083,1.7323943661971823,1.949415234952757,6.15,9.286190463981091,911808 v3
422,2,2,7,7,3.5,4.949747468305833,1.0,0.0,2.0,0.0,5476 tab-finish
112,1,83,3722,3722,44.843373493975896,93.58151291367574,1.0,0.0,3.074074074074074,2.7585660422920113,0 next_button
123,1,88,4629,4629,52.60227272727273,81.31668471578355,1.0864197530864197,0.47951879171200296,2.3157894736842106,2.3948736146520284,0 next_button
220,1,176,2005,2005,11.392045454545455,56.01489336971714,1.2137931034482758,0.6990688936061046,8.8,7.804182414442574,0 back_button
324,1,51,3192,3192,62.588235294117645,90.51744063341346,1.1333333333333333,0.5045249791095126,1.8888888888888888,2.154303980645638,973158 v4
217,1,74,2207,2207,29.824324324324323,54.856065237791384,1.1384615384615384,0.4285485341870231,3.083333333333333,3.3868886153450077,0 next_button
115,1,14,386,386,27.571428571428573,44.69333849126182,1.0,0.0,2.8,1.6431676725154984,0 play_pause_button
110,1,63,3553,3553,56.396825396825385,68.9542952140693,1.0,0.0,1.852941176470588,2.1480414326625397,0 video_end
318,1,111,4434,4434,39.94594594594595,102.65439262069752,1.3703703703703705,0.6213783960769084,3.9642857142857144,3.4154566188642943,1814934 v4
103,1,72,4693,4693,65.18055555555554,159.33703550711004,1.0,0.0,1.945945945945946,1.3111900011894613,0 play_pause_button
309,1,14,46,46,3.285714285714286,5.41264291235837,1.2727272727272727,0.46709936649691375,7.0,5.656854249492381,12833 v4
415,1,68,3113,3113,45.7794117647059,102.04137960595993,1.4782608695652175,1.1496691395504983,3.578947368421052,3.1853098484149633,2147483647 v3
415,2,2,0,0,0.0,0.0,2.0,0.0,2.0,0.0,2147483647 window
113,1,41,1167,1167,28.463414634146346,67.72521596900802,1.025,0.15811388300841894,4.1,3.8715486421958962,0 next_button
215,1,26,176,176,6.769230769230769,16.13271878465051,1.04,0.20000000000000007,6.5,4.43471156521669,0 next_button
